cv_text,age,specialization,experience_years,num_skills,num_degrees,num_jobs,num_courses,label
"Name: Carolyn Stephens
Email: elizabethdoyle@example.org
Age: 44
Experience: 8 years
Specialization: Nursing

Degrees:
- Bachelor in Industrial Engineering from Johnston, Jones and Sanchez
- PhD in Accounting from Walker, Smith and Phillips

Skills:
- Project Management
- Python
- Communication

Work Experience:
- 8-year experience in Nursing at Hudson, Stewart and Palmer for 3 years
- 8-year experience in Nursing at Marshall Ltd for 4 years

Languages:
- French (Intermediate)

Courses:
- Course in AI
- Course in Project Management
",44,Nursing,8,8,2,2,2,LOW
"Name: Amy Patel
Email: anna79@example.org
Age: 24
Experience: 2 years
Specialization: Pharmacy

Degrees:
- Bachelor in Human Resources from Smith Ltd

Skills:
- Python
- Project Management
- Communication

Work Experience:
- 2-year experience in Pharmacy at Long Inc for 2 years

Languages:
- English (Beginner)
- English (Beginner)
- Spanish (Advanced)

Courses:
",24,Pharmacy,2,3,1,1,0,MEDIUM
"Name: Christopher Avery
Email: jason64@example.net
Age: 40
Experience: 0 years
Specialization: Information Systems

Degrees:
- PhD in Information Systems from Malone-Pruitt

Skills:
- Power BI
- Database Management
- Python

Work Experience:
- 0-year experience in Information Systems at Wright, Scott and Perez for 1 years

Languages:
- French (Fluent)

Courses:
",40,Information Systems,0,3,1,1,0,LOW
"Name: Lisa Ashley
Email: dvelasquez@example.com
Age: 51
Experience: 4 years
Specialization: Business Administration

Degrees:
- Diploma in Business Administration from Thompson-Hart

Skills:
- HR Management
- Project Management
- Strategic Planning
- Marketing

Work Experience:
- 4-year experience in Business Administration at Morgan and Sons for 1 years
- 4-year experience in Business Administration at Thomas, Rodriguez and Byrd for 2 years

Languages:
- Arabic (Intermediate)

Courses:
",51,Business Administration,4,4,1,2,0,LOW
"Name: James Bowman
Email: jasonreed@example.org
Age: 28
Experience: 1 years
Specialization: Computer Science

Degrees:
- PhD in Computer Science from Robinson and Sons

Skills:
- C++
- Data Structures
- Java

Work Experience:
- 1-year experience in Computer Science at Erickson LLC for 1 years

Languages:
- German (Beginner)
- Arabic (Beginner)
- Spanish (Fluent)

Courses:
",28,Computer Science,1,3,1,1,0,LOW
"Name: Christopher Andrews
Email: jamesalvarado@example.net
Age: 29
Experience: 0 years
Specialization: Marketing

Degrees:
- Master in Computer Science from Gonzalez, Caldwell and Browning

Skills:
- Python
- Communication
- Project Management

Work Experience:
- 0-year experience in Marketing at Hardin-Torres for 1 years

Languages:
- Spanish (Advanced)
- German (Beginner)
- Arabic (Advanced)

Courses:
- Course in Project Management
",29,Marketing,0,3,1,1,1,LOW
"Name: Pamela Potter
Email: hillanthony@example.org
Age: 31
Experience: 1 years
Specialization: Computer Engineering

Degrees:
- Diploma in Computer Engineering from Mcmillan-Levy

Skills:
- VHDL
- Embedded Systems
- C++

Work Experience:
- 1-year experience in Computer Engineering at Myers, Miller and Robertson for 1 years

Languages:
- Spanish (Fluent)
- French (Fluent)
- Spanish (Beginner)

Courses:
",31,Computer Engineering,1,3,1,1,0,LOW
"Name: William White
Email: kthomas@example.net
Age: 24
Experience: 2 years
Specialization: Industrial Engineering

Degrees:
- Master in Industrial Engineering from Olson, Johnson and Brady

Skills:
- Python
- Communication
- Project Management

Work Experience:
- 2-year experience in Industrial Engineering at Lutz-Diaz for 1 years

Languages:
- Spanish (Advanced)
- Arabic (Advanced)

Courses:
- Course in Data Analysis
",24,Industrial Engineering,2,3,1,1,1,MEDIUM
"Name: Bonnie Robinson
Email: nathan32@example.net
Age: 29
Experience: 2 years
Specialization: Marketing

Degrees:
- PhD in Marketing from Mckenzie-Powell

Skills:
- Python
- Project Management
- Communication

Work Experience:
- 2-year experience in Marketing at Rice-Morgan for 2 years

Languages:
- Arabic (Fluent)
- English (Fluent)
- Spanish (Fluent)

Courses:
",29,Marketing,2,3,1,1,0,LOW
"Name: Carl Ortega
Email: ygonzalez@example.com
Age: 50
Experience: 18 years
Specialization: Industrial Engineering

Degrees:
- Bachelor in Pharmacy from Mcdowell, Knight and Edwards
- PhD in Industrial Engineering from Davidson Ltd

Skills:
- Python
- Project Management
- Communication

Work Experience:
- 18-year experience in Industrial Engineering at Johnson, Gregory and Holmes for 4 years
- 18-year experience in Industrial Engineering at Brown-Lowe for 1 years
- 18-year experience in Industrial Engineering at Coleman-Morris for 3 years
- 18-year experience in Industrial Engineering at Thomas, Stanley and Graves for 4 years

Languages:
- English (Beginner)
- German (Fluent)
- German (Beginner)

Courses:
- Course in Data Analysis
",50,Industrial Engineering,18,8,2,4,1,MEDIUM
